Sample	Location	Region	Bam
Sheep	Sheep	Sheep	results_sheepmap_Oar/MQ30bam/Sheep.MQ30.bam
EL-012	Sib	Sib	ancient/EL012.merged.rmdup.merged.realn.headerfix.bam
AH-1	AH	CaIN	mapping_sheep/results/MQ30bam/AH-1_40.MQ30.bam
AI-1	AI	CaIS	mapping_sheep/results/MQ30bam/AI-1_119.MQ30.bam
BI-1	BI	CaIS	mapping_sheep/results/MQ30bam/BI-1_162.MQ30.bam
BI-26	BI	CaIS	mapping_sheep/results/MQ30bam/BI-26_18.MQ30.bam
BI-28	BI	CaIS	mapping_sheep/results/MQ30bam/BI-28_99.MQ30.bam
BI-30	BI	CaIS	mapping_sheep/results/MQ30bam/BI-30_167.MQ30.bam
BI-31	BI	CaIS	mapping_sheep/results/MQ30bam/BI-31_168.MQ30.bam
BI-32	BI	CaIS	mapping_sheep/results/MQ30bam/BI-32_19.MQ30.bam
BI-33	BI	CaIS	mapping_sheep/results/MQ30bam/BI-33_169.MQ30.bam
BI-35	BI	CaIS	mapping_sheep/results/MQ30bam/BI-35_20.MQ30.bam
BI-36	BI	CaIS	mapping_sheep/results/MQ30bam/BI-36_21.MQ30.bam
BI-37	BI	CaIS	mapping_sheep/results/MQ30bam/BI-37_170.MQ30.bam
BL-10	BL	CaME	mapping_sheep/results/MQ30bam/BL-10_175.MQ30.bam
BL-11	BL	CaME	mapping_sheep/results/MQ30bam/BL-11_9.MQ30.bam
BL-13	BL	CaME	mapping_sheep/results/MQ30bam/BL-13_8.MQ30.bam
BL-14	BL	CaME	mapping_sheep/results/MQ30bam/BL-14_176.MQ30.bam
BL-15	BL	CaME	mapping_sheep/results/MQ30bam/BL-15_31.MQ30.bam
BL-17	BL	CaME	mapping_sheep/results/MQ30bam/BL-17_11.MQ30.bam
BL-1	BL	CaME	mapping_sheep/results/MQ30bam/BL-1_7.MQ30.bam
BL-20	BL	CaME	mapping_sheep/results/MQ30bam/BL-20_10.MQ30.bam
BL-2	BL	CaME	mapping_sheep/results/MQ30bam/BL-2_26.MQ30.bam
BL-23	BL	CaME	mapping_sheep/results/MQ30bam/BL-23_32.MQ30.bam
BL-24	BL	CaME	mapping_sheep/results/MQ30bam/BL-24_33.MQ30.bam
BL-4	BL	CaME	mapping_sheep/results/MQ30bam/BL-4_28.MQ30.bam
BL-6	BL	CaME	mapping_sheep/results/MQ30bam/BL-6_29.MQ30.bam
CH-2	CH	CaME	mapping_sheep/results/MQ30bam/CH-2_60.MQ30.bam
CH-3	CH	CaME	mapping_sheep/results/MQ30bam/CH-3_62.MQ30.bam
CH-4	CH	CaME	mapping_sheep/results/MQ30bam/CH-4_68.MQ30.bam
CH-5	CH	CaME	mapping_sheep/results/MQ30bam/CH-5_137.MQ30.bam
CH-6	CH	CaME	mapping_sheep/results/MQ30bam/CH-6_41.MQ30.bam
CH-7	CH	CaME	mapping_sheep/results/MQ30bam/CH-7_45.MQ30.bam
CH-8	CH	CaME	mapping_sheep/results/MQ30bam/CH-8_47.MQ30.bam
CI-1	CI	CaIN	mapping_sheep/results/MQ30bam/CI-1_154.MQ30.bam
CI-5	CI	CaIS	mapping_sheep/results/MQ30bam/CI-5_156.MQ30.bam
CI-6	CI	CaIS	mapping_sheep/results/MQ30bam/CI-6_157.MQ30.bam
CI-8	CI	CaIN	mapping_sheep/results/MQ30bam/CI-8_14.MQ30.bam
CM-1	CM	CaIS	mapping_sheep/results/MQ30bam/CM-1_61.MQ30.bam
CM-2	CM	CaIS	mapping_sheep/results/MQ30bam/CM-2_63.MQ30.bam
DI-16	DI	CaIN	mapping_sheep/results/MQ30bam/DI-16_74.MQ30.bam
DI-2	DI	CaIN	mapping_sheep/results/MQ30bam/DI-2_166.MQ30.bam
DI-3	DI	CaIN	mapping_sheep/results/MQ30bam/DI-3_24.MQ30.bam
DI-4	DI	CaIN	mapping_sheep/results/MQ30bam/DI-4_25.MQ30.bam
DI-5	DI	CaIN	mapping_sheep/results/MQ30bam/DI-5_171.MQ30.bam
DI-7	DI	CaIN	mapping_sheep/results/MQ30bam/DI-7_173.MQ30.bam
EI-23	EI	CaIN	mapping_sheep/results/MQ30bam/EI-23_12.MQ30.bam
EI-26	EI	CaIN	mapping_sheep/results/MQ30bam/EI-26_15.MQ30.bam
EI-28	EI	CaIN	mapping_sheep/results/MQ30bam/EI-28_17.MQ30.bam
EU-1	EU	CaIN	mapping_sheep/results/MQ30bam/EU-1_145.MQ30.bam
EU-12	EU	CaIN	mapping_sheep/results/MQ30bam/EU-12_148.MQ30.bam
EU-15	EU	CaIN	mapping_sheep/results/MQ30bam/EU-15_150.MQ30.bam
EU-19	EU	CaIN	mapping_sheep/results/MQ30bam/EU-19_152.MQ30.bam
EU-7	EU	CaIN	mapping_sheep/results/MQ30bam/EU-7_67.MQ30.bam
FR-2	FR	CaIN	mapping_sheep/results/MQ30bam/FR-2_39.MQ30.bam
GF-14	GF	CaIN	mapping_sheep/results/MQ30bam/GF-14_116.MQ30.bam
GF-15	GF	CaIN	mapping_sheep/results/MQ30bam/GF-15_6.MQ30.bam
GF-1	GF	CaIN	mapping_sheep/results/MQ30bam/GF-1_58.MQ30.bam
GF-19	GF	CaIN	mapping_sheep/results/MQ30bam/GF-19_117.MQ30.bam
GF-2	GF	CaIN	mapping_sheep/results/MQ30bam/GF-2_75.MQ30.bam
GF-4	GF	CaIN	mapping_sheep/results/MQ30bam/GF-4_65.MQ30.bam
GF-5	GF	CaIN	mapping_sheep/results/MQ30bam/GF-5_71.MQ30.bam
HD-1	HD	GrES	mapping_sheep/results/MQ30bam/HD-1.MQ30.bam
HD-2	HD	GrES	mapping_sheep/results/MQ30bam/HD-2.MQ30.bam
HD-3	HD	GrES	mapping_sheep/results/MQ30bam/HD-3.MQ30.bam
HD-5	HD	GrES	mapping_sheep/results/MQ30bam/HD-5.MQ30.bam
JA-1	JA	GrES	mapping_sheep/results/MQ30bam/JA-1_34.MQ30.bam
JA-2	JA	GrES	mapping_sheep/results/MQ30bam/JA-2_35.MQ30.bam
JA-4	JA	GrES	mapping_sheep/results/MQ30bam/JA-4_36.MQ30.bam
KU-11	KU	CaMW	mapping_sheep/results/MQ30bam/KU-11_64.MQ30.bam
KU-12	KU	CaMW	mapping_sheep/results/MQ30bam/KU-12_70.MQ30.bam
KU-13	KU	CaMW	mapping_sheep/results/MQ30bam/KU-13_38.MQ30.bam
KU-16	KU	CaMW	mapping_sheep/results/MQ30bam/KU-16_77.MQ30.bam
KU-18	KU	CaMW	mapping_sheep/results/MQ30bam/KU-18_1.MQ30.bam
KU-21	KU	CaMW	mapping_sheep/results/MQ30bam/KU-21_43.MQ30.bam
KU-23	KU	CaMW	mapping_sheep/results/MQ30bam/KU-23_3.MQ30.bam
KU-25	KU	CaMW	mapping_sheep/results/MQ30bam/KU-25_4.MQ30.bam
KU-2	KU	CaMW	mapping_sheep/results/MQ30bam/KU-2_57.MQ30.bam
KU-27	KU	CaMW	mapping_sheep/results/MQ30bam/KU-27_2.MQ30.bam
KU-31	KU	CaMW	mapping_sheep/results/MQ30bam/KU-31_46.MQ30.bam
KU-32	KU	CaMW	mapping_sheep/results/MQ30bam/KU-32_48.MQ30.bam
KU-33	KU	CaMW	mapping_sheep/results/MQ30bam/KU-33_52.MQ30.bam
KU-39	KU	CaMW	mapping_sheep/results/MQ30bam/KU-39_56.MQ30.bam
KU-4	KU	CaMW	mapping_sheep/results/MQ30bam/KU-4_72.MQ30.bam
MO23	ZA	GrEN	mapping_sheep/results/MQ30bam/MO23_ZA.MQ30.bam
MO25	ZA	GrEN	mapping_sheep/results/MQ30bam/MO25_ZA.MQ30.bam
MO27	ZA	GrEN	mapping_sheep/results/MQ30bam/MO27_ZA.MQ30.bam
MO28	ZA	GrEN	mapping_sheep/results/MQ30bam/MO28_ZA.MQ30.bam
MO29	ZA	GrEN	mapping_sheep/results/MQ30bam/MO29_ZA.MQ30.bam
MO30	ZA	GrEN	mapping_sheep/results/MQ30bam/MO30_ZA.MQ30.bam
MO32	ZA	GrEN	mapping_sheep/results/MQ30bam/MO32_ZA.MQ30.bam
MO33	ZA	GrEN	mapping_sheep/results/MQ30bam/MO33_ZA.MQ30.bam
MO34	ZA	GrEN	mapping_sheep/results/MQ30bam/MO34_ZA.MQ30.bam
MO35	ZA	GrEN	mapping_sheep/results/MQ30bam/MO35_ZA.MQ30.bam
