Sample	Location	Region	ROHan_segments	ROHan_Froh	PLINK_segments	PLINK_%	REF	PLINK_Froh	
EL-012	SIB	SIB	0	0%	10753000	0.41%	2616950925	0.00410898	
AH-1	AH	CaIN	853000000	52.56%	1655940000	63.28%	2616950925	0.632774571	
AI-1	AI	CaIS	950000000	52.87%	1453920000	55.56%	2616950925	0.555577862	
BI-1	BI	CaIS	1014000000	55.68%	1630640000	62.31%	2616950925	0.623106832	
BI-26	BI	CaIS	1028000000	56.64%	1641530000	62.73%	2616950925	0.627268163	
BI-28	BI	CaIS	1007000000	55.03%	1539050000	58.81%	2616950925	0.588108086	
BI-32	BI	CaIS	1007000000	54.61%	1554500000	59.40%	2616950925	0.594011903	
BI-35	BI	CaIS	918000000	51.11%	1471910000	56.25%	2616950925	0.562452274	
BI-36	BI	CaIS	1174000000	63.15%	1646450000	62.91%	2616950925	0.629148214	
BL-1	BL	CaME	545000000	26.64%	942774000	36.03%	2616950925	0.36025666	
BL-10	BL	CaME	406000000	20.36%	787711000	30.10%	2616950925	0.301003352	
BL-11	BL	CaME	401000000	19.98%	748121000	28.59%	2616950925	0.285875059	
BL-13	BL	CaME	857000000	42.20%	1190240000	45.48%	2616950925	0.454819381	
BL-15	BL	CaME	570000000	28.15%	704072000	26.90%	2616950925	0.269042875	
BL-17	BL	CaME	381000000	19.06%	781496000	29.86%	2616950925	0.298628451	
BL-2	BL	CaME	544000000	26.97%	948814000	36.26%	2616950925	0.36256469	
BL-20	BL	CaME	361000000	18.01%	731021000	27.93%	2616950925	0.279340737	
BL-23	BL	CaME	442000000	21.78%	850598000	32.50%	2616950925	0.32503399	
BL-24	BL	CaME	346000000	17.45%	718998000	27.47%	2616950925	0.274746459	
BL-4	BL	CaME	412000000	20.37%	794083000	30.34%	2616950925	0.303438247	
BL-6	BL	CaME	480000000	23.79%	870910000	33.28%	2616950925	0.332795694	
CH-3	CH	CaME	868000000	42.51%	1238780000	47.34%	2616950925	0.473367685	
CH-7	CH	CaME	501000000	25.09%	876351000	33.49%	2616950925	0.334874831	
CI-8	CI	CaIS	1065000000	61.70%	1706460000	65.21%	2616950925	0.652079481	
CM-1	CM	CaIS	1192000000	63.61%	1670510000	63.83%	2616950925	0.638342119	
CM-2	CM	CaIS	1022000000	56.65%	1535360000	58.67%	2616950925	0.586698048	
EI-23	EI	CaIN	925000000	56.96%	843563000	32.23%	2616950925	0.322345747	
EI-28	EI	CaIN	1101000000	63.86%	1776080000	67.87%	2616950925	0.67868296	
EU-7	EU	CaIN	961000000	56.70%	1726270000	65.96%	2616950925	0.659649359	
HD-1	HD	GrES	2108000000	96.74%	2094180000	80.02%	2616950925	0.800236634	
HD-2	HD	GrES	2025000000	95.34%	2058150000	78.65%	2616950925	0.786468703	
HD-3	HD	GrES	1628000000	87.20%	1680120000	64.20%	2616950925	0.642014332	
HD-5	HD	GrES	1725000000	89.98%	1729390000	66.08%	2616950925	0.660841586	
JA-1	JA	GrES	1970000000	96.19%	2176650000	83.18%	2616950925	0.831750408	
JA-4	JA	GrES	1733000000	93.78%	1794020000	68.55%	2616950925	0.685538266	
KU-11	KU	CaMW	861000000	42.00%	1193090000	45.59%	2616950925	0.455908435	
KU-12	KU	CaMW	719000000	35.61%	1124970000	42.99%	2616950925	0.429878141	
KU-13	KU	CaMW	640000000	31.73%	1027670000	39.27%	2616950925	0.392697467	
KU-2	KU	CaMW	805000000	39.62%	806256000	30.81%	2616950925	0.308089843	
KU-21	KU	CaMW	711000000	35.57%	476228000	18.20%	2616950925	0.181978193	
KU-23	KU	CaMW	735000000	37.08%	797642000	30.48%	2616950925	0.304798226	
KU-27	KU	CaMW	735000000	36.03%	993017000	37.95%	2616950925	0.379455721	
KU-31	KU	CaMW	879000000	43.00%	1173470000	44.84%	2616950925	0.44841116	
KU-32	KU	CaMW	1122000000	54.31%	1434380000	54.81%	2616950925	0.548111157	
KU-39	KU	CaMW	818000000	40.86%	1186580000	45.34%	2616950925	0.453420807	
KU-4	KU	CaMW	712000000	35.37%	1143250000	43.69%	2616950925	0.43686337	
MO25	ZA	GrEN	1668000000	88.30%	2063670000	78.86%	2616950925	0.788578028	
MO28	ZA	GrEN	1756000000	89.87%	2049600000	78.32%	2616950925	0.783201542	
MO29	ZA	GrEN	1741000000	87.14%	2019350000	77.16%	2616950925	0.771642288	
MO32	ZA	GrEN	1758000000	88.74%	2075650000	79.32%	2616950925	0.793155875	
MO33	ZA	GrEN	1686000000	86.46%	2055920000	78.56%	2616950925	0.785616566	
MO34	ZA	GrEN	1707000000	88.13%	2035060000	77.76%	2616950925	0.777645458	
MO35	ZA	GrEN	1684000000	87.25%	2040970000	77.99%	2616950925	0.779903811	
MO42	ZA	GrEN	1702000000	88.10%	2037530000	77.86%	2616950925	0.778589304	
MO46	ZA	GrEN	1735000000	88.25%	2031960000	77.65%	2616950925	0.776460873	
MO49	ZA	GrEN	1754000000	88.90%	2062890000	78.83%	2616950925	0.788279971	
MO50	ZA	GrEN	1702000000	89.20%	2052720000	78.44%	2616950925	0.784393769	
RY-3	RY	GrN	1337000000	74.86%	1890360000	72.24%	2616950925	0.722352101	
SF-1	SF	CaIN	924000000	55.16%	1550200000	59.24%	2616950925	0.59236877	
SF-3	SF	CaIN	859000000	52.44%	1634890000	62.47%	2616950925	0.624730859	
TH-27	TH	CaME	416000000	20.78%	823579000	31.47%	2616950925	0.314709379
