Sample	Location	Region	Het_muskoxmap	estimate
EL012	SIB	SIB	0.00198057	transversions-only-CpGfiltered
AH-1	AH	CaIN	0.00004164	transversions-only-CpGfiltered
AI-1	AI	CaIS	0.00004759	transversions-only-CpGfiltered
BI-1	BI	CaIS	0.00004447	transversions-only-CpGfiltered
BI-26	BI	CaIS	0.00004357	transversions-only-CpGfiltered
BI-28	BI	CaIS	0.00004646	transversions-only-CpGfiltered
BI-30	BI	CaIS	0.00003947	transversions-only-CpGfiltered
BI-31	BI	CaIS	0.00004449	transversions-only-CpGfiltered
BI-32	BI	CaIS	0.00004681	transversions-only-CpGfiltered
BI-33	BI	CaIS	0.00004962	transversions-only-CpGfiltered
BI-35	BI	CaIS	0.00004879	transversions-only-CpGfiltered
BI-36	BI	CaIS	0.00003978	transversions-only-CpGfiltered
BI-37	BI	CaIS	0.00004890	transversions-only-CpGfiltered
BL-1	BL	CaME	0.00010673	transversions-only-CpGfiltered
BL-10	BL	CaME	0.00011181	transversions-only-CpGfiltered
BL-11	BL	CaME	0.00007920	transversions-only-CpGfiltered
BL-13	BL	CaME	0.00010998	transversions-only-CpGfiltered
BL-14	BL	CaME	0.00009898	transversions-only-CpGfiltered
BL-15	BL	CaME	0.00011020	transversions-only-CpGfiltered
BL-17	BL	CaME	0.00010201	transversions-only-CpGfiltered
BL-2	BL	CaME	0.0001129	transversions-only-CpGfiltered
BL-20	BL	CaME	0.00010484	transversions-only-CpGfiltered
BL-23	BL	CaME	0.00010634	transversions-only-CpGfiltered
BL-24	BL	CaME	0.00011166	transversions-only-CpGfiltered
BL-4	BL	CaME	0.00010586	transversions-only-CpGfiltered
BL-6	BL	CaME	0.00010894	transversions-only-CpGfiltered
CH-2	CH	CaME	0.00007523	transversions-only-CpGfiltered
CH-3	CH	CaME	0.00007992	transversions-only-CpGfiltered
CH-4	CH	CaME	0.00006783	transversions-only-CpGfiltered
CH-5	CH	CaME	0.00008483	transversions-only-CpGfiltered
CH-6	CH	CaME	0.00009661	transversions-only-CpGfiltered
CH-7	CH	CaME	0.00010332	transversions-only-CpGfiltered
CH-8	CH	CaME	0.00009677	transversions-only-CpGfiltered
CI-1	CI	CaIN	0.00003778	transversions-only-CpGfiltered
CI-5	CI	CaIS	0.00005106	transversions-only-CpGfiltered
CI-6	CI	CaIS	0.00005151	transversions-only-CpGfiltered
CI-8	CI	CaIN	0.00003438	transversions-only-CpGfiltered
CM-1	CM	CaIS	0.00003928	transversions-only-CpGfiltered
CM-2	CM	CaIS	0.00004302	transversions-only-CpGfiltered
DI-16	DI	CaIN	0.00002816	transversions-only-CpGfiltered
DI-2	DI	CaIN	0.00005670	transversions-only-CpGfiltered
DI-3	DI	CaIN	0.00003415	transversions-only-CpGfiltered
DI-4	DI	CaIN	0.00002661	transversions-only-CpGfiltered
DI-5	DI	CaIN	0.00002803	transversions-only-CpGfiltered
DI-7	DI	CaIN	0.00002318	transversions-only-CpGfiltered
EI-23	EI	CaIN	0.00003638	transversions-only-CpGfiltered
EI-26	EI	CaIN	0.00003401	transversions-only-CpGfiltered
EI-28	EI	CaIN	0.00003317	transversions-only-CpGfiltered
EU-1	EU	CaIN	0.00003705	transversions-only-CpGfiltered
EU-12	EU	CaIN	0.00003894	transversions-only-CpGfiltered
EU-15	EU	CaIN	0.0000357	transversions-only-CpGfiltered
EU-19	EU	CaIN	0.00002943	transversions-only-CpGfiltered
EU-7	EU	CaIN	0.00003521	transversions-only-CpGfiltered
FR-2	FR	CaIN	0.00004360	transversions-only-CpGfiltered
GF-1	GF	CaIN	0.00003351	transversions-only-CpGfiltered
GF-14	GF	CaIN	0.00002793	transversions-only-CpGfiltered
GF-15	GF	CaIN	0.00003027	transversions-only-CpGfiltered
GF-19	GF	CaIN	0.00004275	transversions-only-CpGfiltered
GF-2	GF	CaIN	0.00002901	transversions-only-CpGfiltered
GF-4	GF	CaIN	0.00003164	transversions-only-CpGfiltered
GF-5	GF	CaIN	0.00002926	transversions-only-CpGfiltered
HD-1	HD	GrES	0.00001097	transversions-only-CpGfiltered
HD-2	HD	GrES	0.00001129	transversions-only-CpGfiltered
HD-3	HD	GrES	0.00001396	transversions-only-CpGfiltered
HD-5	HD	GrES	0.00001326	transversions-only-CpGfiltered
JA-1	JA	GrES	0.00001258	transversions-only-CpGfiltered
JA-2	JA	GrES	0.00001366	transversions-only-CpGfiltered
JA-4	JA	GrES	0.00001334	transversions-only-CpGfiltered
KU-11	KU	CaMW	0.0000888	transversions-only-CpGfiltered
KU-12	KU	CaMW	0.00009153	transversions-only-CpGfiltered
KU-13	KU	CaMW	0.00009560	transversions-only-CpGfiltered
KU-16	KU	CaMW	0.00008814	transversions-only-CpGfiltered
KU-18	KU	CaMW	0.00008258	transversions-only-CpGfiltered
KU-2	KU	CaMW	0.00008971	transversions-only-CpGfiltered
KU-21	KU	CaMW	0.00008732	transversions-only-CpGfiltered
KU-23	KU	CaMW	0.00009151	transversions-only-CpGfiltered
KU-25	KU	CaMW	0.00008936	transversions-only-CpGfiltered
KU-27	KU	CaMW	0.00009436	transversions-only-CpGfiltered
KU-31	KU	CaMW	0.00008352	transversions-only-CpGfiltered
KU-32	KU	CaMW	0.00007142	transversions-only-CpGfiltered
KU-33	KU	CaMW	0.0000792	transversions-only-CpGfiltered
KU-39	KU	CaMW	0.00008686	transversions-only-CpGfiltered
KU-4	KU	CaMW	0.00009126	transversions-only-CpGfiltered
MO23	ZA	GrEN	0.00001277	transversions-only-CpGfiltered
MO25	ZA	GrEN	0.00001661	transversions-only-CpGfiltered
MO27	ZA	GrEN	0.00001459	transversions-only-CpGfiltered
MO28	ZA	GrEN	0.00001566	transversions-only-CpGfiltered
MO29	ZA	GrEN	0.00001764	transversions-only-CpGfiltered
MO30	ZA	GrEN	0.00001295	transversions-only-CpGfiltered
MO32	ZA	GrEN	0.00001678	transversions-only-CpGfiltered
MO33	ZA	GrEN	0.00001813	transversions-only-CpGfiltered
MO34	ZA	GrEN	0.00001719	transversions-only-CpGfiltered
MO35	ZA	GrEN	0.00001752	transversions-only-CpGfiltered
MO41	ZA	GrEN	0.00001653	transversions-only-CpGfiltered
MO42	ZA	GrEN	0.00001653	transversions-only-CpGfiltered
MO43	ZA	GrEN	0.00001613	transversions-only-CpGfiltered
MO44	ZA	GrEN	0.00001617	transversions-only-CpGfiltered
MO45	ZA	GrEN	0.00001658	transversions-only-CpGfiltered
MO46	ZA	GrEN	0.00001729	transversions-only-CpGfiltered
MO47	ZA	GrEN	0.00001288	transversions-only-CpGfiltered
MO48	ZA	GrEN	0.00001517	transversions-only-CpGfiltered
MO49	ZA	GrEN	0.00001624	transversions-only-CpGfiltered
MO50	ZA	GrEN	0.00001613	transversions-only-CpGfiltered
RY-3	RY	GrN	0.00002718	transversions-only-CpGfiltered
SF-1	SF	CaIN	0.00004558	transversions-only-CpGfiltered
SF-3	SF	CaIN	0.00004244	transversions-only-CpGfiltered
TH-27	TH	CaME	0.0001101	transversions-only-CpGfiltered
TH-28	TH	CaME	0.0001293	transversions-only-CpGfiltered
EL012	SIB	SIB	0.00203515	transversions-only
AH-1	AH	CaIN	0.00004409	transversions-only
AI-1	AI	CaIS	0.00005042	transversions-only
BI-1	BI	CaIS	0.00004718	transversions-only
BI-26	BI	CaIS	0.00004616	transversions-only
BI-28	BI	CaIS	0.00004926	transversions-only
BI-30	BI	CaIS	0.00004167	transversions-only
BI-31	BI	CaIS	0.00004735	transversions-only
BI-32	BI	CaIS	0.00004968	transversions-only
BI-33	BI	CaIS	0.00005280	transversions-only
BI-35	BI	CaIS	0.00005172	transversions-only
BI-36	BI	CaIS	0.00004218	transversions-only
BI-37	BI	CaIS	0.00005204	transversions-only
BL-1	BL	CaME	0.00010861	transversions-only
BL-10	BL	CaME	0.00011369	transversions-only
BL-11	BL	CaME	0.00011913	transversions-only
BL-13	BL	CaME	0.00008428	transversions-only
BL-14	BL	CaME	0.00011782	transversions-only
BL-15	BL	CaME	0.00010548	transversions-only
BL-17	BL	CaME	0.00011781	transversions-only
BL-2	BL	CaME	0.00011130	transversions-only
BL-20	BL	CaME	0.00011941	transversions-only
BL-23	BL	CaME	0.00011333	transversions-only
BL-24	BL	CaME	0.00011894	transversions-only
BL-4	BL	CaME	0.00011287	transversions-only
BL-6	BL	CaME	0.00011578	transversions-only
CH-2	CH	CaME	0.00008088	transversions-only
CH-3	CH	CaME	0.00008514	transversions-only
CH-4	CH	CaME	0.00007264	transversions-only
CH-5	CH	CaME	0.00009047	transversions-only
CH-6	CH	CaME	0.00010350	transversions-only
CH-7	CH	CaME	0.00010980	transversions-only
CH-8	CH	CaME	0.00010360	transversions-only
CI-1	CI	CaIN	0.00004054	transversions-only
CI-5	CI	CaIS	0.00005460	transversions-only
CI-6	CI	CaIS	0.00005612	transversions-only
CI-8	CI	CaIN	0.00003646	transversions-only
CM-1	CM	CaIS	0.00004174	transversions-only
CM-2	CM	CaIS	0.00004561	transversions-only
DI-16	DI	CaIN	0.00002990	transversions-only
DI-2	DI	CaIN	0.00006023	transversions-only
DI-3	DI	CaIN	0.00003638	transversions-only
DI-4	DI	CaIN	0.00002857	transversions-only
DI-5	DI	CaIN	0.00002971	transversions-only
DI-7	DI	CaIN	0.00002484	transversions-only
EI-23	EI	CaIN	0.00003856	transversions-only
EI-26	EI	CaIN	0.00003528	transversions-only
EI-28	EI	CaIN	0.00003511	transversions-only
EU-1	EU	CaIN	0.00003909	transversions-only
EU-12	EU	CaIN	0.00004192	transversions-only
EU-15	EU	CaIN	0.00003757	transversions-only
EU-19	EU	CaIN	0.00003140	transversions-only
