Sample	Location	Region
EL-012	SIB	SIB
AH-1	AH	CaIN
AH-2	AH	CaIN
AH-3	AH	CaIN
AH-4	AH	CaIN
AI-1	AI	CaIS
AL-1	AL	AL
AL-2	AL	AL
BI-1	BI	CaIS
BI-26	BI	CaIS
BI-28	BI	CaIS
BI-30	BI	CaIS
BI-31	BI	CaIS
BI-32	BI	CaIS
BI-33	BI	CaIS
BI-35	BI	CaIS
BI-36	BI	CaIS
BI-37	BI	CaIS
BI-38	BI	CaIS
BI-5	BI	CaIS
BI-6	BI	CaIS
BL-10	BL	CaME
BL-11	BL	CaME
BL-13	BL	CaME
BL-14	BL	CaME
BL-15	BL	CaME
BL-17	BL	CaME
BL-1	BL	CaME
BL-20	BL	CaME
BL-2	BL	CaME
BL-23	BL	CaME
BL-24	BL	CaME
BL-4	BL	CaME
BL-6	BL	CaME
BS-3	BS	GrN
BS-4	BS	GrN
BS-6	BS	GrN
CH-2	CH	CaME
CH-3	CH	CaME
CH-4	CH	CaME
CH-5	CH	CaME
CH-6	CH	CaME
CH-7	CH	CaME
CH-8	CH	CaME
CI-1	CI	CaIN
CI-5	CI	CaIS
CI-6	CI	CaIS
CI-8	CI	CaIN
CM-1	CM	CaIS
CM-2	CM	CaIS
DI-16	DI	CaIN
DI-2	DI	CaIN
DI-3	DI	CaIN
DI-4	DI	CaIN
DI-5	DI	CaIN
DI-7	DI	CaIN
EI-11	EI	CaIN
EI-20	EI	CaIN
EI-22	EI	CaIN
EI-23	EI	CaIN
EI-24	EI	CaIN
EI-26	EI	CaIN
EI-28	EI	CaIN
EI-8	EI	CaIN
EU-1	EU	CaIN
EU-12	EU	CaIN
EU-13	EU	CaIN
EU-15	EU	CaIN
EU-16	EU	CaIN
EU-17	EU	CaIN
EU-18	EU	CaIN
EU-19	EU	CaIN
EU-2	EU	CaIN
EU-3	EU	CaIN
EU-6	EU	CaIN
EU-7	EU	CaIN
EU-8	EU	CaIN
FR-2	FR	CaIN
GF-14	GF	CaIN
GF-15	GF	CaIN
GF-1	GF	CaIN
GF-19	GF	CaIN
GF-22	GF	CaIN
GF-2	GF	CaIN
GF-4	GF	CaIN
GF-5	GF	CaIN
GI-1	GI	GrEN
GI-2	GI	GrEN
GI-3	GI	GrEN
GI-4	GI	GrEN
GI-5	GI	GrEN
GI-7	GI	GrEN
GI-8	GI	GrEN
GI-9	GI	GrEN
HD-1	HD	GrES
HD-2	HD	GrES
HD-3	HD	GrES
HD-5	HD	GrES
HH-13	HH	GrEN
HH-16	HH	GrEN
HH-18	HH	GrEN
HH-20	HH	GrEN
HH-4	HH	GrEN
HH-5	HH	GrEN
HH-6	HH	GrEN
JA-1	JA	GrES
JA-2	JA	GrES
JA-3	JA	GrES
JA-4	JA	GrES
KA-10	KA	GrW
KA-11	KA	GrW
KA-12	KA	GrW
KA-13	KA	GrW
KA-14	KA	GrW
KA-15	KA	GrW
KA-16	KA	GrW
KA-17	KA	GrW
KA-18	KA	GrW
KA-19	KA	GrW
KA-1	KA	GrW
KA-20	KA	GrW
KA-2	KA	GrW
KA-3	KA	GrW
KA-4	KA	GrW
KA-5	KA	GrW
KA-6	KA	GrW
KA-7	KA	GrW
KA-8	KA	GrW
KA-9	KA	GrW
KC-1	KC	GrN
KC-2	KC	GrN
KU-11	KU	CaMW
KU-12	KU	CaMW
KU-13	KU	CaMW
KU-16	KU	CaMW
KU-18	KU	CaMW
KU-21	KU	CaMW
KU-23	KU	CaMW
KU-25	KU	CaMW
KU-2	KU	CaMW
KU-27	KU	CaMW
KU-31	KU	CaMW
KU-32	KU	CaMW
KU-33	KU	CaMW
KU-39	KU	CaMW
KU-4	KU	CaMW
MO23	ZA	GrEN
MO25	ZA	GrEN
MO27	ZA	GrEN
MO28	ZA	GrEN
MO29	ZA	GrEN
MO30	ZA	GrEN
MO32	ZA	GrEN
MO33	ZA	GrEN
MO34	ZA	GrEN
MO35	ZA	GrEN
MO41	ZA	GrEN
MO42	ZA	GrEN
MO43	ZA	GrEN
MO44	ZA	GrEN
MO45	ZA	GrEN
MO46	ZA	GrEN
MO47	ZA	GrEN
MO48	ZA	GrEN
MO49	ZA	GrEN
MO50	ZA	GrEN
NG-1	NG	GrN
RY-1	RY	GrN
RY-3	RY	GrN
RY-4	RY	GrN
RY-6	RY	GrN
RY-7	RY	GrN
SF-1	SF	CaIN
SF-2	SF	CaIN
SF-3	SF	CaIN
SI-15	SI	CaIS
SI-18	SI	CaIS
SI-20	SI	CaIS
TH-17	TH	CaME
TH-18	TH	CaME
TH-22	TH	CaME
TH-24	TH	CaME
TH-25	TH	CaME
TH-27	TH	CaME
TH-28	TH	CaME
YM-10	YM	GrEN
YM-1	YM	GrEN
YM-17	YM	GrEN
YM-18	YM	GrEN
YM-19	YM	GrEN
YM-20	YM	GrEN
YM-2	YM	GrEN
YM-5	YM	GrEN
YM-6	YM	GrEN
YM-7	YM	GrEN
YM-8	YM	GrEN
YM-9	YM	GrEN
ZA-14	ZA	GrEN
ZA-20	ZA	GrEN
ZA-23	ZA	GrEN
ZA-25	ZA	GrEN
